Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santa Engracia 14,Calle Santa Engracia nº 14
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Guzmán el Bueno,Calle Guzmán el Bueno nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Florida,Paseo de la Florida nº 8
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Metro Pirámides,Paseo de los Olmos nº 28
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Esperanza,Paseo de la Esperanza nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Entrada Matadero,Paseo de la Chopera nº 14
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de las Delicias,Paseo de las Delicias nº 92
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castellana 164,Paseo de la Castellana nº 164
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Alberto Alcocer,Avenida de Alberto Alcocer nº 22
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Germán 57,Calle San Germán nº 57
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Orense 36,Calle Orense nº 36
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Perón 1,Avenida del General Perón frente al nº 4
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Serrano 210,Calle Serrano nº 210
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Orense 12,Calle Orense nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Habana 42,Paseo de la Habana nº 42
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castellana frente a Hermanos Pinzón,Paseo de la Castellana nº 122
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Doctor Arce 45,Avenida del Doctor Arce nº 45
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castellana 106,Paseo de la Castellana nº 106
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de la República Argentina,Plaza de la República Argentina nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Agustín de Betancourt,Calle María de Guzmán nº 58
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,María Francisca 1,Calle María Francisca nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Bravo Murillo 44,Calle Bravo Murillo nº 44
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santa Engracia 127,Calle Santa Engracia nº 127
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Cea Bermúdez,Calle Cea Bermúdez nº 59
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,José Abascal,Calle José Abascal nº 33
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Velázquez 130,Calle Velázquez nº 130
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Álvarez de Castro,Calle del General Álvarez de Castro nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Martínez Campos ,Calle Fernández de la Hoz nº 29
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Diego de León 52,Calle Diego de León nº 52
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castellana 42,Paseo de la Castellana nº 42
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Fernando el Católico,Calle Fernando el Católico nº 19
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Manuel Silvela,Calle Manuel Silvela nº 20
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Juan Bravo 50,Calle Juan Bravo nº 50
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ortega y Gasset 87,Calle Ortega y Gasset nº 87
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Colombia,Calle Colombia nº 7
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de la Habana 63,Paseo de la Habana nº 63
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Segovia 26,Calle Segovia nº 26
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Segovia 45,Calle Segovia nº 45
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Batalla del Salado,Paseo Santa María de la Cabeza nº 29
